 2.83 -2.83  0.00
 2.81 -2.81  0.00
 2.76 -2.76  0.00
 2.68 -2.68  0.00
 2.57 -2.57  0.00
 2.45 -2.45  0.00
 2.32 -2.32  0.00
 2.20 -2.20  0.00
 2.09 -2.09  0.00
 2.02 -2.02  0.00
 2.00 -2.00  0.00
 2.02 -2.02  0.00
 2.09 -2.09  0.00
 2.20 -2.20  0.00
 2.32 -2.32  0.00
 2.45 -2.45  0.00
 2.57 -2.57  0.00
 2.68 -2.68  0.00
 2.76 -2.76  0.00
 2.81 -2.81  0.00
 2.81 -2.81  0.00
 2.79 -2.79  0.00
 2.74 -2.74  0.00
 2.66 -2.66  0.00
 2.55 -2.55  0.00
 2.43 -2.43  0.00
 2.30 -2.30  0.00
 2.17 -2.17  0.00
 2.07 -2.07  0.00
 2.00 -2.00  0.00
 1.98 -1.98  0.00
 2.00 -2.00  0.00
 2.07 -2.07  0.00
 2.17 -2.17  0.00
 2.30 -2.30  0.00
 2.43 -2.43  0.00
 2.55 -2.55  0.00
 2.66 -2.66  0.00
 2.74 -2.74  0.00
 2.79 -2.79  0.00
 2.76 -2.76  0.00
 2.74 -2.74  0.00
 2.69 -2.69  0.00
 2.61 -2.61  0.00
 2.50 -2.50  0.00
 2.37 -2.37  0.00
 2.24 -2.24  0.00
 2.11 -2.11  0.00
 2.00 -2.00  0.00
 1.93 -1.93  0.00
 1.90 -1.90  0.00
 1.93 -1.93  0.00
 2.00 -2.00  0.00
 2.11 -2.11  0.00
 2.24 -2.24  0.00
 2.37 -2.37  0.00
 2.50 -2.50  0.00
 2.61 -2.61  0.00
 2.69 -2.69  0.00
 2.74 -2.74  0.00
 2.68 -2.68  0.00
 2.66 -2.66  0.00
 2.61 -2.61  0.00
 2.52 -2.52  0.00
 2.41 -2.41  0.00
 2.27 -2.27  0.00
 2.13 -2.13  0.00
 2.00 -2.00  0.00
 1.89 -1.89  0.00
 1.81 -1.81  0.00
 1.78 -1.78  0.00
 1.81 -1.81  0.00
 1.89 -1.89  0.00
 2.00 -2.00  0.00
 2.13 -2.13  0.00
 2.27 -2.27  0.00
 2.41 -2.41  0.00
 2.52 -2.52  0.00
 2.61 -2.61  0.00
 2.66 -2.66  0.00
 2.57 -2.57  0.00
 2.55 -2.55  0.00
 2.50 -2.50  0.00
 2.41 -2.41  0.00
 2.29 -2.29  0.00
 2.15 -2.15  0.00
 2.00 -2.00  0.00
 1.86 -1.86  0.00
 1.73 -1.73  0.00
 1.65 -1.65  0.00
 1.62 -1.62  0.00
 1.65 -1.65  0.00
 1.73 -1.73  0.00
 1.86 -1.86  0.00
 2.00 -2.00  0.00
 2.15 -2.15  0.00
 2.29 -2.29  0.00
 2.41 -2.41  0.00
 2.50 -2.50  0.00
 2.55 -2.55  0.00
 2.45 -2.45  0.00
 2.43 -2.43  0.00
 2.37 -2.37  0.00
 2.27 -2.27  0.00
 2.15 -2.15  0.00
 2.00 -2.00  0.00
 1.84 -1.84  0.00
 1.68 -1.68  0.00
 1.54 -1.54  0.00
 1.45 -1.45  0.00
 1.41 -1.41  0.00
 1.45 -1.45  0.00
 1.54 -1.54  0.00
 1.68 -1.68  0.00
 1.84 -1.84  0.00
 2.00 -2.00  0.00
 2.15 -2.15  0.00
 2.27 -2.27  0.00
 2.37 -2.37  0.00
 2.43 -2.43  0.00
 2.32 -2.32  0.00
 2.30 -2.30  0.00
 2.24 -2.24  0.00
 2.13 -2.13  0.00
 2.00 -2.00  0.00
 1.84 -1.84  0.00
 1.66 -1.66  0.00
 1.49 -1.49  0.00
 1.33 -1.33  0.00
 1.22 -1.22  0.00
 1.18 -1.18  0.00
 1.22 -1.22  0.00
 1.33 -1.33  0.00
 1.49 -1.49  0.00
 1.66 -1.66  0.00
 1.84 -1.84  0.00
 2.00 -2.00  0.00
 2.13 -2.13  0.00
 2.24 -2.24  0.00
 2.30 -2.30  0.00
 2.20 -2.20  0.00
 2.17 -2.17  0.00
 2.11 -2.11  0.00
 2.00 -2.00  0.00
 1.86 -1.86  0.00
 1.68 -1.68  0.00
 1.49 -1.49  0.00
 1.28 -1.28  0.00
 1.10 -1.10  0.00
 0.96 -0.96  0.00
 0.91 -0.91  0.00
 0.96 -0.96  0.00
 1.10 -1.10  0.00
 1.28 -1.28  0.00
 1.49 -1.49  0.00
 1.68 -1.68  0.00
 1.86 -1.86  0.00
 2.00 -2.00  0.00
 2.11 -2.11  0.00
 2.17 -2.17  0.00
 2.09 -2.09  0.00
 2.07 -2.07  0.00
 2.00 -2.00  0.00
 1.89 -1.89  0.00
 1.73 -1.73  0.00
 1.54 -1.54  0.00
 1.33 -1.33  0.00
 1.10 -1.10  0.00
 0.87 -0.87  0.00
 0.69 -0.69  0.00
 0.62 -0.62  0.00
 0.69 -0.69  0.00
 0.87 -0.87  0.00
 1.10 -1.10  0.00
 1.33 -1.33  0.00
 1.54 -1.54  0.00
 1.73 -1.73  0.00
 1.89 -1.89  0.00
 2.00 -2.00  0.00
 2.07 -2.07  0.00
 2.02 -2.02  0.00
 2.00 -2.00  0.00
 1.93 -1.93  0.00
 1.81 -1.81  0.00
 1.65 -1.65  0.00
 1.45 -1.45  0.00
 1.22 -1.22  0.00
 0.96 -0.96  0.00
 0.69 -0.69  0.00
 0.44 -0.44  0.00
 0.31 -0.31  0.00
 0.44 -0.44  0.00
 0.69 -0.69  0.00
 0.96 -0.96  0.00
 1.22 -1.22  0.00
 1.45 -1.45  0.00
 1.65 -1.65  0.00
 1.81 -1.81  0.00
 1.93 -1.93  0.00
 2.00 -2.00  0.00
 2.00 -2.00  0.00
 1.98 -1.98  0.00
 1.90 -1.90  0.00
 1.78 -1.78  0.00
 1.62 -1.62  0.00
 1.41 -1.41  0.00
 1.18 -1.18  0.00
 0.91 -0.91  0.00
 0.62 -0.62  0.00
 0.31 -0.31  0.00
 0.00 -0.00  0.00
 0.31 -0.31  0.00
 0.62 -0.62  0.00
 0.91 -0.91  0.00
 1.18 -1.18  0.00
 1.41 -1.41  0.00
 1.62 -1.62  0.00
 1.78 -1.78  0.00
 1.90 -1.90  0.00
 1.98 -1.98  0.00
 2.02 -2.02  0.00
 2.00 -2.00  0.00
 1.93 -1.93  0.00
 1.81 -1.81  0.00
 1.65 -1.65  0.00
 1.45 -1.45  0.00
 1.22 -1.22  0.00
 0.96 -0.96  0.00
 0.69 -0.69  0.00
 0.44 -0.44  0.00
 0.31 -0.31  0.00
 0.44 -0.44  0.00
 0.69 -0.69  0.00
 0.96 -0.96  0.00
 1.22 -1.22  0.00
 1.45 -1.45  0.00
 1.65 -1.65  0.00
 1.81 -1.81  0.00
 1.93 -1.93  0.00
 2.00 -2.00  0.00
 2.09 -2.09  0.00
 2.07 -2.07  0.00
 2.00 -2.00  0.00
 1.89 -1.89  0.00
 1.73 -1.73  0.00
 1.54 -1.54  0.00
 1.33 -1.33  0.00
