 0.00  0.00  0.00 -3.35  0.00  1.83  6.51
 0.16  0.00  0.16 -3.34 -0.00  1.83  6.51
 0.32  0.00  0.32 -3.32 -0.00  1.83  6.50
 0.48  0.00  0.48 -3.29 -0.00  1.82  6.47
 0.64  0.00  0.64 -3.25 -0.00  1.82  6.44
 0.81  0.00  0.81 -3.20 -0.01  1.81  6.40
 0.97  0.00  0.97 -3.14 -0.02  1.80  6.36
 1.13  0.00  1.13 -3.07 -0.04  1.80  6.31
 1.29  0.00  1.29 -2.99 -0.06  1.80  6.25
 1.45  0.00  1.45 -2.90 -0.10  1.80  6.19
 1.61  0.00  1.61 -2.80 -0.14  1.82  6.13
 1.77  0.00  1.77 -2.70 -0.19  1.83  6.06
 1.93  0.00  1.93 -2.59 -0.25  1.85  5.99
 2.09  0.00  2.09 -2.49 -0.33  1.88  5.93
 2.26  0.00  2.26 -2.38 -0.40  1.90  5.87
 2.42  0.00  2.42 -2.27 -0.48  1.93  5.82
 2.58  0.00  2.58 -2.18 -0.55  1.96  5.78
 2.74  0.00  2.74 -2.10 -0.62  1.98  5.74
 2.90  0.00  2.90 -2.04 -0.67  1.99  5.72
 3.06  0.00  3.06 -2.00 -0.70  2.00  5.70
 3.22  0.00  3.22 -2.00 -0.70  2.00  5.70
 3.06  0.00  3.06 -2.00 -0.70  2.00  5.70
 3.06  0.16  3.22 -2.00 -0.69  1.99  5.70
 3.06  0.32  3.38 -1.98 -0.68  1.97  5.69
 3.06  0.48  3.54 -1.95 -0.66  1.94  5.67
 3.06  0.64  3.71 -1.90 -0.63  1.90  5.64
 3.06  0.81  3.87 -1.84 -0.60  1.84  5.61
 3.06  0.97  4.03 -1.78 -0.56  1.77  5.57
 3.06  1.13  4.19 -1.69 -0.51  1.69  5.52
 3.06  1.29  4.35 -1.60 -0.46  1.60  5.47
 3.06  1.45  4.51 -1.50 -0.41  1.50  5.42
 3.06  1.61  4.67 -1.39 -0.35  1.39  5.36
 3.06  1.77  4.83 -1.27 -0.30  1.26  5.30
 3.06  1.93  4.99 -1.14 -0.24  1.14  5.25
 3.06  2.09  5.16 -1.01 -0.19  1.00  5.19
 3.06  2.26  5.32 -0.86 -0.14  0.86  5.14
 3.06  2.42  5.48 -0.72 -0.09  0.71  5.10
 3.06  2.58  5.64 -0.56 -0.06  0.56  5.06
 3.06  2.74  5.80 -0.41 -0.03  0.41  5.03
 3.06  2.90  5.96 -0.26 -0.01  0.25  5.01
 3.06  3.06  6.12 -0.12  0.00  0.11  5.00
 3.06  3.22  6.28 -0.12 -0.00  0.11  5.00
 3.22  3.22  6.44 -0.12  0.00  0.11  5.00
 3.38  3.38  6.77 -0.35 -0.00  0.33  5.02
 3.54  3.54  7.09 -0.60 -0.00  0.53  5.06
 3.71  3.71  7.41 -0.84  0.00  0.72  5.12
 3.87  3.87  7.73 -1.09  0.00  0.89  5.20
 4.03  4.03  8.06 -1.33 -0.00  1.04  5.29
 4.19  4.19  8.38 -1.57  0.00  1.18  5.40
 4.35  4.35  8.70 -1.81  0.00  1.30  5.51
 4.51  4.51  9.02 -2.03  0.00  1.40  5.63
 4.67  4.67  9.34 -2.24 -0.00  1.49  5.75
 4.83  4.83  9.67 -2.44 -0.00  1.56  5.88
 4.99  4.99  9.99 -2.62 -0.00  1.63  5.99
 5.16  5.16 10.31 -2.79  0.00  1.68  6.11
 5.32  5.32 10.63 -2.93  0.00  1.72  6.21
 5.48  5.48 10.96 -3.06 -0.00  1.76  6.30
 5.64  5.64 11.28 -3.16  0.00  1.79  6.37
 5.80  5.80 11.60 -3.24  0.00  1.81  6.43
 5.96  5.96 11.92 -3.30  0.00  1.82  6.48
 6.12  6.12 12.24 -3.34  0.00  1.83  6.50
 6.28  6.28 12.57 -3.35 -0.00  1.83  6.51
